ID,Product_Name,Brand,proteinPerServing,caloriesPerServing,carbsPerServing,fatsPerServing,sugarPerServing,fiberPerServing,pricePerServing,buyUrl,imageFileName,isWeightLoss,isHighProtein,isLowCarb,isKeto,isLowSugar,isGlutenFree,isVegan,isBars,isChips,isHalal
quest-choc-chip-cookie-dough,Quest Protein Bar Chocolate Chip Cookie Dough,Quest Nutrition,21.0,200.0,4.0,9.0,1.0,9.0,1.6,https://www.amazon.com/Quest-Nutrition-Dipped-Chocolate-Protein/dp/B094K6VJ9Z/ref=sr_1_2?crid=2XPUNE3CQHBA3&tag=thehighprotei-20,quest-choc-chip-cookie-dough.jpg,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,
quest-cookies-cream,Quest Protein Bar Cookies & Cream,Quest Nutrition,21.0,190.0,4.0,8.0,1.0,13.0,1.6,https://www.amazon.com/Quest-Nutrition-Cookies-Protein-Friendly/dp/B00I0DI0Z6/ref=sr_1_2?crid=3AZ09T3VW32P&tag=thehighprotei-20,quest-cookies-cream.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,
quest-peanut-butter-cup,Quest Peanut Butter Cups (2 cups),Quest Nutrition,10.0,190.0,3.0,12.0,1.0,4.0,2.0,https://www.amazon.com/Quest-Nutrition-Candies-Protein-Friendly/dp/B0D65KFHH7/ref=sr_1_1?crid=1MX4Q0WR2Y0OI&tag=thehighprotei-20,quest-peanut-butter-cup.jpg,TRUE,,TRUE,TRUE,TRUE,,,,,
quest-birthday-cake,Quest Protein Bar Birthday Cake,Quest Nutrition,20.0,180.0,4.0,7.0,1.0,12.0,1.6,https://www.amazon.com/Quest-Nutrition-Birthday-Protein-Friendly/dp/B0764FYSNF/ref=sr_1_1?crid=24DANWBYOT813&tag=thehighprotei-20,quest-birthday-cake.jpg,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,
quest-cheddar-blast-chips,Quest Protein Chips Cheddar & Sour Cream,Quest Nutrition,10.0,140.0,5.0,7.0,1.0,1.0,1.9,https://www.amazon.com/Quest-Nutrition-Crackers-Cheddar-Protein/dp/B0B5M5YB9G/ref=sr_1_1?crid=28MOMM51DYADT&tag=thehighprotei-20,quest-cheddar-blast-chips.jpg,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,
quest-protein-chips-nacho-cheese,Quest Protein Chips Nacho Cheese,Quest Nutrition,18.0,140.0,4.0,5.0,1.0,1.0,2.3,https://www.amazon.com/Quest-Nutrition-Cheese-Tortilla-Protein/dp/B0FHJ7LGM9/ref=sr_1_1?crid=195DKPXRX8IX2&tag=thehighprotei-20,quest-protein-chips-nacho-cheese.jpg,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,
rxbar-chocolate-sea-salt,RXBAR Chocolate Sea Salt Bar,RXBAR,12.0,200.0,22.0,8.0,13.0,5.0,2.0,https://www.amazon.com/RXBAR-Whole-Protein-Chocolate-Ounce/dp/B0143NQVQ6/ref=sr_1_4?crid=1HND7JWH7OXPM&tag=thehighprotei-20,rxbar-chocolate-sea-salt.jpg,,,,,,TRUE,,TRUE,,
rxbar-blueberry,RXBAR Blueberry Bar,RXBAR,12.0,180.0,23.0,6.0,15.0,6.0,1.8,https://www.amazon.com/RXBAR-Blueberry-Protein-Ounce-Gluten/dp/B0823BY2P8/ref=sr_1_2_sspa?crid=279T7OVGU211H&tag=thehighprotei-20,rxbar-blueberry.jpg,,,,,,TRUE,,TRUE,,
rxbar-peanut-butter-chocolate,RXBAR Peanut Butter Chocolate Bar,RXBAR,12.0,210.0,23.0,9.0,14.0,5.0,1.7,https://www.amazon.com/RXBAR-Protein-Peanut-Butter-Chocolate/dp/B0CJZY2ZS5/ref=sr_1_3?crid=1W55G3JED79PH&tag=thehighprotei-20,rxbar-peanut-butter-chocolate.jpg,,,,,,TRUE,,TRUE,,
built-bar-mint-brownie,Built Bar Mint Brownie,Built Bar,14.0,140.0,18.0,2.5,7.0,1.0,2.9,https://www.amazon.com/Built-Puffs-Count-Protein-Bar/dp/B0C5QCYZTH/ref=sr_1_2?dib=eyJ2IjoiMSJ9.76sCFlrj0pwo0OK-1kwaCYVnaqzB8Vad73GSRG43lntM1BNMxsQ_Iunu1cbPYCw_OsvoEP_qV9WNGMfoiENJSS0qrjsIdOsufs-kzjdhjG0.VEJSRm5UeV4Du0ils2vEJiGjOt81an-f1-fTGHi-dCs&tag=thehighprotei-20, built-bar-mint-brownie.jpg,,,,,,TRUE,,TRUE,,
